TAG,TIMES
CELL_99,1
CELL_98,4
CELL_97,1
CELL_96,1
CELL_95,2
CELL_94,3
CELL_93,2
CELL_92,1
CELL_91,2
CELL_90,3
CELL_9,6
CELL_89,4
CELL_88,4
CELL_87,2
CELL_86,3
CELL_85,4
CELL_84,3
CELL_83,4
CELL_82,5
CELL_81,3
CELL_80,5
CELL_8,7
CELL_79,2
CELL_78,2
CELL_77,4
CELL_76,4
CELL_75,2
CELL_74,1
CELL_73,4
CELL_72,3
CELL_71,9
CELL_70,4
CELL_7,1
CELL_69,4
CELL_68,5
CELL_67,3
CELL_66,6
CELL_65,3
CELL_64,3
CELL_63,2
CELL_62,2
CELL_61,1
CELL_60,4
CELL_6,1
CELL_59,3
CELL_58,3
CELL_57,2
CELL_56,1
CELL_55,1
CELL_54,1
CELL_53,3
CELL_52,3
CELL_51,4
CELL_50,1
CELL_5,5
CELL_49,1
CELL_48,1
CELL_47,3
CELL_46,1
CELL_45,4
CELL_44,3
CELL_43,3
CELL_42,2
CELL_41,16
CELL_40,9
CELL_4,11
CELL_39,2
CELL_38,3
CELL_37,2
CELL_36,4
CELL_35,10
CELL_34,2
CELL_33,3
CELL_32,2
CELL_31,2
CELL_30,1
CELL_3,2
CELL_29,9
CELL_28,3
CELL_27,1
CELL_26,2
CELL_25,2
CELL_24,7
CELL_23,4
CELL_221,2
CELL_220,1
CELL_22,4
CELL_219,1
CELL_218,5
CELL_217,1
CELL_216,3
CELL_215,5
CELL_214,2
CELL_213,2
CELL_212,3
CELL_211,3
CELL_210,3
CELL_21,5
CELL_209,1
CELL_208,2
CELL_207,2
CELL_206,1
CELL_205,1
CELL_204,1
CELL_203,1
CELL_202,1
CELL_201,2
CELL_200,1
CELL_20,3
CELL_2,7
CELL_199,2
CELL_198,3
CELL_197,4
CELL_196,5
CELL_195,1
CELL_194,5
CELL_193,1
CELL_192,1
CELL_191,1
CELL_190,1
CELL_19,8
CELL_189,1
CELL_188,2
CELL_187,1
CELL_186,1
CELL_185,3
CELL_184,1
CELL_183,2
CELL_182,2
CELL_181,1
CELL_180,2
CELL_18,3
CELL_179,3
CELL_178,2
CELL_177,2
CELL_176,2
CELL_175,2
CELL_174,1
CELL_173,2
CELL_172,3
CELL_171,4
CELL_170,3
CELL_17,4
CELL_169,3
CELL_168,2
CELL_167,2
CELL_166,1
CELL_165,1
CELL_164,1
CELL_163,1
CELL_162,1
CELL_161,2
CELL_160,5
CELL_16,10
CELL_159,1
CELL_158,3
CELL_157,6
CELL_156,2
CELL_155,1
CELL_154,2
CELL_153,1
CELL_152,5
CELL_151,1
CELL_150,2
CELL_15,2
CELL_149,1
CELL_148,7
CELL_147,1
CELL_146,2
CELL_145,1
CELL_144,47
CELL_143,9
CELL_142,1
CELL_141,102
CELL_140,25
CELL_14,5
CELL_139,3
CELL_138,13
CELL_137,4
CELL_136,524
CELL_135,9
CELL_134,11
CELL_133,247
CELL_132,50
CELL_131,1
CELL_130,1
CELL_13,5
CELL_129,1
CELL_128,5
CELL_127,4
CELL_126,4
CELL_125,4
CELL_124,5
CELL_123,10
CELL_122,9
CELL_121,2
CELL_120,1
CELL_12,42
CELL_119,2
CELL_118,12
CELL_117,6
CELL_116,7
CELL_115,1
CELL_114,3
CELL_113,3
CELL_112,5
CELL_111,3
CELL_110,3
CELL_11,1
CELL_109,4
CELL_108,1
CELL_107,5
CELL_106,2
CELL_105,3
CELL_104,9
CELL_103,2
CELL_102,8
CELL_101,4
CELL_100,8
CELL_10,11
CELL_1,115